Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
CROTONA PARK,"867 CROTONA PARK N, BRONX, 10460",20116057-01903,0210870,POSTGRADUATE CENTER FOR MENTAL HEALTH,2118985,,36005036700,NYC GEOG DIST #12 - BRONX,321200,40.83947725,-73.88910232,BRONX,50,PCMH CROTONA L.P.,1,50,5/8/2014,NEW,2-2957-8,15,79,32,593655.3572815366,4521531.538722264
CROTONA PARK NORTH APARTMENTS,"1791 PROSPECT AVE, BRONX, 10457",20136100-01974,0001921,CONSOLATO CICCIU,2009935,,36005036902,NYC GEOG DIST #12 - BRONX,321200,40.84147495,-73.89191568,BRONX,67,CROTONA PARK NORTH II APTS. HDFC,2,31,12/31/2015,REHAB,2-2948-44,15,79,32,593415.3646968262,4521750.298396901
CROTONA PARK NORTH APARTMENTS,"756 E 175TH ST, BRONX, 10457",20136100-01974,0234579,CONSOLATO CICCIU,2009934,,36005036902,NYC GEOG DIST #12 - BRONX,321200,40.84180932,-73.89187379,BRONX,67,CROTONA PARK NORTH II APTS. HDFC,2,36,12/31/2014,REHAB,2-2948-40,15,79,32,593418.4267006173,4521787.461306845
CROTONA SENIOR HOUSING,"771-775 CROTONA PARK N, BRONX, 10460",20156049-02175,0244342,ARCO MANAGEMENT LLC,2128766,,36005036700,NYC GEOG DIST #12 - BRONX,321200,40.84094994,-73.8916552,BRONX,84,HELP CROTONA PARK LLC,1,84,12/15/2020,NEW,2-2952-1001,15,79,32,593438.0618450758,4521692.295121187
CROWN OAKS APARTMENTS,"1 WILLOW POND WAY, PENFIELD, 14526",20060432-01552,0164947,SILVER TREE RESIDENTIAL LLC,NA (Outside NYC),,36055011601,PENFIELD CSD,261201,43.12945535,-77.45088232,MONROE,96,CROWN OAKS ESTATES LLC,5,24,9/29/2008,REHAB,139.2-1-1.2,25,135,55,300648.45541663526,4778106.573045877
CROWN OAKS APARTMENTS,"1 WILLOW POND WAY, PENFIELD, 14526",20060432-01552,0164948,SILVER TREE RESIDENTIAL LLC,NA (Outside NYC),,36055011601,PENFIELD CSD,261201,43.12945535,-77.45088232,MONROE,96,CROWN OAKS ESTATES LLC,5,16,9/29/2008,REHAB,139.2-1-1.2,25,135,55,300648.45541663526,4778106.573045877
CROWN OAKS APARTMENTS,"1 WILLOW POND WAY, PENFIELD, 14526",20060432-01552,0164949,SILVER TREE RESIDENTIAL LLC,NA (Outside NYC),,36055011601,PENFIELD CSD,261201,43.12945535,-77.45088232,MONROE,96,CROWN OAKS ESTATES LLC,5,16,9/29/2008,REHAB,139.2-1-1.2,25,135,55,300648.45541663526,4778106.573045877
CROWN OAKS APARTMENTS,"1 WILLOW POND WAY, PENFIELD, 14526",20060432-01552,0164950,SILVER TREE RESIDENTIAL LLC,NA (Outside NYC),,36055011601,PENFIELD CSD,261201,43.12945535,-77.45088232,MONROE,96,CROWN OAKS ESTATES LLC,5,24,9/29/2008,REHAB,139.2-1-1.2,25,135,55,300648.45541663526,4778106.573045877
CROWN OAKS APARTMENTS,"1 WILLOW POND WAY, PENFIELD, 14526",20060432-01552,0164951,SILVER TREE RESIDENTIAL LLC,NA (Outside NYC),,36055011601,PENFIELD CSD,261201,43.12945535,-77.45088232,MONROE,96,CROWN OAKS ESTATES LLC,5,16,9/29/2008,REHAB,139.2-1-1.2,25,135,55,300648.45541663526,4778106.573045877
CUBE BUILDING,"16-18 2ND AVE, NEW YORK, 10003",19900341-01183,0000049,COOPER SQUARE MUTUAL HOUSING ASSOC.,1006068,,36061003602,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72404552,-73.99066589,NEW YORK,22,"CUBE BUILDING, HDFC",1,22,9/19/1989,REHAB,1-442-7,10,66,27,585240.2589516493,4508614.096970176
CYNTHIA GARDENS,"302 HUDSON ST, BUFFALO, 14201",20060602-01871,0183404,,NA (Outside NYC),,36029007103,BUFFALO CITY SD,140600,42.89897959,-78.88355303,ERIE,8,"CYNTHIA GARDENS HDFC, INC",2,4,7/9/2013,NEW,99.84-4-23,26,149,63,182921.81533242145,4756917.420962768
CYNTHIA GARDENS,"294 HUDSON ST, BUFFALO, 14201",20060602-01871,0231674,,NA (Outside NYC),,36029007103,BUFFALO CITY SD,140600,42.89884151,-78.88378994,ERIE,8,"CYNTHIA GARDENS HDFC, INC",2,4,7/9/2013,NEW,99.84-4-24.1,26,149,63,182901.76157543634,4756902.979038331
DAMON HOUSE BUSHWICK,"1154 DEKALB AVE, Brooklyn, 11221",19901040-01242,0002561,"DAMON HOUSE NEW YORK, INC.",3073748,,36047039300,NYC GEOG DIST #32 - BROOKLYN,333200,40.69465409,-73.92878644,KINGS,26,"DAMON HOUSE NEW YORK, INC.",1,26,3/4/1992,REHAB,3-3241-13,7,53,18,590505.9795656013,4505413.358180892
DANIEL NICKERSON ARMS,"445 E 171ST ST, BRONX, 10457",19990040-01333,0096472,ADVANTAGE PROPERTY MGMT LLC,2109440,,36005016900,NYC GEOG DIST # 9 - BRONX,320900,40.83814914,-73.90399287,BRONX,46,CPE EQUITIES LLC,1,46,1/28/2003,NEW,2-2903-3,15,79,32,592401.8161720308,4521368.293554475
DAVIDSON AVENUE APARTMENTS,"1750 DAVIDSON AVE, BRONX, 10453",20040448-01475,0159084,COMMUNITY ACCESS INC.,2115886,,36005021700,NYC GEOG DIST # 9 - BRONX,320900,40.84815303,-73.91274652,BRONX,74,"1750 DAVIDSON AVENUE, L.P.",1,74,10/30/2007,NEW,2-2861-67,15,77,31,591650.0196646273,4522469.623307096
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0163324,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,22,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181911,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,22,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181912,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,14,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181913,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,14,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181914,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,14,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181915,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,16,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DAVIES SOUTH TERRACE,"1 S DAVIES TER, BEACON, 12508",20070447-01761,0181916,COMMUNITY HOUSING MANAGEMENT CORP,NA (Outside NYC),,36027210201,BEACON CITY SD,130200,41.50353263,-73.97840831,DUTCHESS,124,DAVIES SOUTH TERRACE ASSOCIATES LLC,7,22,12/30/2007,REHAB,1302005954-34-699763-0000,18,104,39,585260.7981126274,4595160.136962727
DE PAUL RESIDENCE,"504 CENTRAL AVE, ALBANY, 12206",19920539-00526,0003364,SONDRA YOUNG,NA (Outside NYC),,36001000501,ALBANY CITY SD,10100,42.6698324,-73.77897774,ALBANY,51,BRANSON ASSOCIATES LP,1,51,10/5/1993,NEW,65.37-3-55.22,20,109,46,600055.3578688932,4724873.959675835
DEAN'S LANDING,"4 GRAHAM DR, STAMFORD, 12167",20030349-01339,0134616,"CRM RENTAL MANAGEMENT COMPANY, INC.",NA (Outside NYC),,36025971000,STAMFORD CSD,121701,42.40517456,-74.61755175,DELAWARE,28,"STAMFORD HOUSING GROUP, L.P.",4,8,6/16/2005,NEW,54.9-8-2.212,19,102,51,531471.7541204091,4694834.720013329
DEAN'S LANDING,"4 GRAHAM DR, STAMFORD, 12167",20030349-01339,0134617,"CRM RENTAL MANAGEMENT COMPANY, INC.",NA (Outside NYC),,36025971000,STAMFORD CSD,121701,42.40517456,-74.61755175,DELAWARE,28,"STAMFORD HOUSING GROUP, L.P.",4,8,6/16/2005,NEW,54.9-8-2.212,19,102,51,531471.7541204091,4694834.720013329
DEAN'S LANDING,"4 GRAHAM DR, STAMFORD, 12167",20030349-01339,0134618,"CRM RENTAL MANAGEMENT COMPANY, INC.",NA (Outside NYC),,36025971000,STAMFORD CSD,121701,42.40517456,-74.61755175,DELAWARE,28,"STAMFORD HOUSING GROUP, L.P.",4,6,6/16/2005,NEW,54.9-8-2.212,19,102,51,531471.7541204091,4694834.720013329
DEAN'S LANDING,"4 GRAHAM DR, STAMFORD, 12167",20030349-01339,0134619,"CRM RENTAL MANAGEMENT COMPANY, INC.",NA (Outside NYC),,36025971000,STAMFORD CSD,121701,42.40517456,-74.61755175,DELAWARE,28,"STAMFORD HOUSING GROUP, L.P.",4,6,6/16/2005,NEW,54.9-8-2.212,19,102,51,531471.7541204091,4694834.720013329
DEKALB AVENUE APARTMENTS,"910 DEKALB AVE, Brooklyn, 11221",20010799-01112,0119638,COMMUNITY ACCESS INC.,3389800,,36047028100,NYC GEOG DIST #16 - BROOKLYN,331600,40.692518,-73.939372,KINGS,64,"910 DEKALB AVENUE, L.P.",1,64,1/14/2004,NEW,3-1601-4,8,56,25,589614.4607484458,4505165.388101086
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072019,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,5,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072020,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,3,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072021,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,3,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072022,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,5,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072023,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,8,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DELEVAN VILLAGE APARTMENTS,"1014 N MAIN ST, DELEVAN, 14042",19930829-00784,0072024,TM ASSOCIATES MANAGEMENT INC,NA (Outside NYC),,36009960200,YORKSHIRE-PIONEER CSD,43501,42.49818878,-78.47988711,CATTARAUGUS,32,MAIN STREET DELEVAN LIMITED PARTNERSHIP,6,8,9/30/1997,NEW,13.21-1-2.4,23,148,57,214047.2924033206,4710962.202468669
DENTON GREEN HOUSING,"500 DENTON AVE, NORTH HEMPSTEAD, 11040",20116065-01865,0048092,CHRISSY NAPP,NA (Outside NYC),,36059303204,NEW HYDE PARK-GARDEN CITY PARK UFSD,280405,40.74810509,-73.67171727,NASSAU,113,"DENTON GREEN, LLC",1,113,12/31/2012,REHAB,9.00-634-36,3,19,7,612136.3270621647,4511643.471760171
DESTINY AT WCP,"225-235 JOSEPH AVE, ROCHESTER, 14605",20060098-01533,0157594,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36055001300,ROCHESTER CITY SD,261600,43.16769691,-77.60733087,MONROE,18,"DESTINY AT WCP, L.P.",1,18,12/4/2007,NEW,106.55-1-20.1,25,137,56,288054.8356977358,4782737.915958218
DEVAN'S GATE,"88 DEVANS DR, MOUNT HOPE, 10963",20020620-01362,0123619,ROCKLAND HOUSING ACTION COALITION,NA (Outside NYC),,36071011500,MINISINK VALLEY CSD,441101,41.46383788,-74.53275596,ORANGE,24,HORIZON SENIORS LIMITED PARTNERSHIP,1,24,10/28/2004,NEW,10.00-1-89.51,18,98,42,539019.2221869569,4590354.895465041
DEVAN'S GATE II,"88 DEVANS DR, MOUNT HOPE, 10963",20070079-01610,0159865,ROCKLAND HOUSING ACTION COALITION,NA (Outside NYC),,36071011500,MINISINK VALLEY CSD,441101,41.46383788,-74.53275596,ORANGE,24,HORIZON SENIORS II LIMITED PARTNERSHIP,1,24,5/10/2009,NEW,10.00-1-89.52,18,98,42,539019.2221869569,4590354.895465041
DEWITT CLINTON APARTMENTS,"423 ANN ST, ROME, 13440",20176057-02127,0255612,DEPAUL PROPERTIES INC,NA (Outside NYC),,36065021900,ROME CITY SD,411800,43.20436611,-75.46104901,ONEIDA,80,DEPAUL ROME LP,2,66,5/28/2020,NEW,242.73-2-45,21,119,53,462545.41503153596,4783612.879150789
DEWITT CLINTON APARTMENTS,"312 E NORTH ST, ROME, 13440",20176057-02127,0255613,DEPAUL PROPERTIES INC,NA (Outside NYC),,36065021900,ROME CITY SD,411800,43.2043463,-75.46121317,ONEIDA,80,DEPAUL ROME LP,2,14,5/28/2020,NEW,242.73-2-45,21,119,53,462532.0668998146,4783610.752681614
DEWITT SUPPORTIVE HOUSING,"437 DEWITT AVE, Brooklyn, 11207",20096119-01809,0187370,"STEL, INC.",3415154,,36047110400,NYC GEOG DIST #19 - BROOKLYN,331900,40.6571735,-73.89414582,KINGS,33,"DEWITT SUPPORTING HOUSING, L.P.",1,33,7/2/2012,NEW,3-4318-32,8,60,19,593485.138393617,4501289.033870949
DIAMOND ROCK TERRACE - PHASE II FEDERAL,"13 GURLEY AVE, TROY, 12182",20010860-01060,0113817,VESTA MANAGEMENT,NA (Outside NYC),,36083041400,LANSINGBURGH CSD,490601,42.77580078,-73.66474318,RENSSELAER,36,VESTA DIAMOND ROCK TERRACE II LLC,1,36,9/12/2002,NEW,38170080.-3-18.1/1,20,108,43,609230.2334789067,4736782.813289608
DIETZ STREET LOFTS,"DIETZ ST, ONEONTA, 13820",20200225-02243,0263998,KEARNEY REALTY & DEVELOPMENT GROUP,NA (Outside NYC),,36077590900,ONEONTA CITY SD,471400,42.45555747,-75.06261338,OTSEGO,64,DIETZ STREET LOFTS LIMITED PARTNERSHIP,1,64,6/29/2023,NEW,300.6-1-7,19,122,51,494851.65885838337,4700360.162839501
DIMARCO PLACE II SENIOR RESIDENCE,"36 S REMSEN AVE, WAPPINGERS FALLS, 12590",20020590-01141,0122840,COMMUNITY SERVICES PROGRAMS INC,NA (Outside NYC),,36027300000,WAPPINGERS CSD,132101,41.59393599,-73.9139342,DUTCHESS,32,DIMARCO PLACE II LIMITED PARTNERSHIP,1,32,7/29/2004,NEW,1356016158-18-446091-0000,18,105,39,590515.60505912,4605262.540349746
DIVERSITY HOUSES,"242 E 2ND ST, NEW YORK, 10009",20020585-01624,0127333,"LESPMHA, INC.",1087353,,36061002202,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72144699,-73.98178757,NEW YORK,44,"DIVERSITY HOUSES, L.P.",2,22,12/27/2006,NEW,1-385-49,10,65,27,585993.4071285451,4508334.298905144
DIVERSITY HOUSES,"227-229 E 3RD ST, NEW YORK, 10009",20020585-01624,0127494,"LESPMHA, INC.",1087432,,36061002601,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72242552,-73.98178388,NEW YORK,44,"DIVERSITY HOUSES, L.P.",2,22,12/13/2006,NEW,1-386-56,10,65,27,585992.4592875096,4508442.925966646
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144011,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144012,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144013,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144014,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144015,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144016,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144017,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144018,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0144019,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOCTORS PATH APARTMENTS,"641 DOCTORS PATH, RIVERHEAD, 11901",20050979-01506,0152828,LENAPE ASSOCIATES L.P.,NA (Outside NYC),,36103169903,RIVERHEAD CSD,580602,40.95590188,-72.66529308,SUFFOLK,40,"LENAPE ASSOCIATES, L.P.",10,4,4/29/2006,REHAB,65.00-1-2.2,1,2,1,696490.9934725477,4536486.654689548
DOMINGO PROJECT,"7440 S STATE ST, LOWVILLE, 13367",20000073-01211,0096321,"SNOW BELT HOUSING COMPANY, INC",NA (Outside NYC),,36049950301,LOWVILLE ACADEMY & CSD,230901,43.78048388,-75.48720114,LEWIS,2,"SNOW BELT HOUSING COMPANY, INC.",1,2,8/27/2002,REHAB,212.16-1-38,21,117,49,460795.3334908338,4847607.468444341
DOMINIC HOLLOW APARTMENTS,"11 DOMINIC DR, BALLSTON, 12020",20210073-02236,0264195,,NA (Outside NYC),,36091061701,BALLSTON SPA CSD,521301,42.98726045,-73.84984429,SARATOGA,60,DOMINIC HOLLOW LLC,1,60,2/9/2023,NEW,216.00-2-46,20,112,44,593767.1152170127,4760041.840468585
DORADO,"3055 3RD AVE, BRONX, 10455",20060048-01626,0165157,C & C APARTMENT MANAGEMENT LLC,2118202,,36005006900,NYC GEOG DIST # 7 - BRONX,320700,40.82036743,-73.91311482,BRONX,58,CS MELROSE SITE D LLC,1,58,4/21/2010,NEW,2-2378-62,15,79,29,591657.2368727464,4519384.780157198
DOROTHY DAY APARTMENTS,"583 RIVERSIDE DR, NEW YORK, 10031",20000163-01134,0097193,BROADWAY HOUSING COMMUNITIES,1059949,,36061022301,NYC GEOG DIST # 6 - MANHATTAN,310600,40.8211806,-73.95720058,NEW YORK,70,"583 RIVERSIDE DRIVE, L.P.",1,70,2/12/2003,REHAB,1-2002-2,13,70,30,587938.340311512,4519429.87671899
DOWLING GARDENS,"190 KINGS HWY, ORANGETOWN, 10983",19930547-00629,0046070,THORPE VILLAGE INC.,NA (Outside NYC),,36087013003,SOUTH ORANGETOWN CSD,500301,41.04031637,-73.931143,ROCKLAND,111,DOWLING GARDENS L.P.,1,111,12/27/1995,NEW,74.16-1-2.2,17,97,38,589838.4419913063,4543782.81494919
DOYLE BUILDING,"5 KATONAH AVE, BEDFORD, 10536",19930660-01267,0040252,A-HOME,NA (Outside NYC),,36119012600,KATONAH-LEWISBORO UFSD,660101,41.25993831,-73.68449713,WESTCHESTER,4,BLUE MOUNTAIN HDFC,1,4,6/28/1995,REHAB,49.15-4-11.2,17,93,40,610201.2906601508,4568447.717025977
DREITZER HOUSE,"325 E 115TH ST, NEW YORK, 10029",19940448-00848,0054967,"SUS, INC.",1086217,100-year,36061018800,NYC GEOG DIST # 4 - MANHATTAN,310400,40.79591234,-73.93693903,NEW YORK,37,PALLADIA INC.,1,37,8/19/1999,NEW,1-1687-14,13,68,29,589681.0234830339,4516645.410907137
DROMORE APARTMENTS,"1 DROMORE RD, GREENBURGH, 10583",20210437-02275,0264580,,,,36119010702,EDGEMONT UFSD,660406,41.0040312645585,-73.8099127033579,WESTCHESTER,45,DROMORE LIMITED PARTNERSHIP,1,45,8/29/2024,NEW,"8.471-346-12, 8.471-346-13, 8.471-346-14",16,88,35,600083.0811844473,4539886.592894687
DRUM HILL SENIOR LIVING COMMUNITY,"90 RINGGOLD ST, PEEKSKILL, 10566",19980211-00964,0111022,TRINITY MANAGEMENT,NA (Outside NYC),,36119014100,PEEKSKILL CITY SD,661500,41.28808788,-73.92339905,WESTCHESTER,120,DRUM HILL ASSOCIATES LP,1,120,2/29/2000,REHAB,33.37-1-36,17,95,40,590149.0968636506,4571297.250319206
DUBOIS STREET APARTMENTS,"6 DUBOIS ST, NEWBURGH, 12550",19970607-00815,0082064,FIDELITY REAL ESTATE MANAGEMENT LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50071131,-74.01524249,ORANGE,17,DUBOIS STREET ASSOCIATES LLC,11,3,4/30/1998,NEW/REHAB,30.00-1-34,18,104,39,582190.1918656556,4594811.239003369
DUBOIS STREET APARTMENTS,"22 DUBOIS ST, NEWBURGH, 12550",19970607-00815,0082065,FIDELITY REAL ESTATE MANAGEMENT LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50124297,-74.01510981,ORANGE,17,DUBOIS STREET ASSOCIATES LLC,11,1,1/31/1998,NEW/REHAB,30.00-1-39,18,104,39,582200.5933977049,4594870.390679472
DUBOIS STREET APARTMENTS,"27 DUBOIS ST, NEWBURGH, 12550",19970607-00815,0082066,FIDELITY REAL ESTATE MANAGEMENT LLC,NA (Outside NYC),,36071000301,NEWBURGH CITY SD,441600,41.50139099,-74.015549,ORANGE,17,DUBOIS STREET ASSOCIATES LLC,11,2,2/28/1998,NEW/REHAB,29.00-5-22,18,104,39,582163.7502954981,4594886.4065637225
DUBOIS STREET APARTMENTS,"40 DUBOIS ST, NEWBURGH, 12550",19970607-00815,0082067,FIDELITY REAL ESTATE MANAGEMENT LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50178347,-74.01508998,ORANGE,17,DUBOIS STREET ASSOCIATES LLC,11,1,2/9/1998,NEW/REHAB,30.00-1-45,18,104,39,582201.564872284,4594930.416503041
DUBOIS STREET APARTMENTS,"42 DUBOIS ST, NEWBURGH, 12550",19970607-00815,0082068,FIDELITY REAL ESTATE MANAGEMENT LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50184225,-74.0150817,ORANGE,17,DUBOIS STREET ASSOCIATES LLC,11,2,12/31/1997,NEW/REHAB,30.00-1-46,18,104,39,582202.1815953526,4594936.950203295
